asof_date,src,symbol,v8_local_industry_id,v8_local_industry_name,v7_sw_l1_code,v7_sw_l1_name,mapping_type,manual_review_flag,jaccard_score,coverage_vs_v8,coverage_vs_v7,decision_reason
2026-03-30,SW2014,000605,859712.SI,859712.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000608,851812.SI,851812.SI,801180.SI,房地产,ONE_TO_ONE,0,0.084034,1.0,0.084034,high_v8_coverage_single_parent
2026-03-30,SW2014,000609,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000610,852131.SI,852131.SI,801210.SI,休闲服务,ONE_TO_ONE,0,0.064516,1.0,0.064516,high_v8_coverage_single_parent
2026-03-30,SW2014,000612,850551.SI,850551.SI,801050.SI,有色金属,ONE_TO_ONE,0,0.196203,1.0,0.196203,high_v8_coverage_single_parent
2026-03-30,SW2014,000617,851922.SI,851922.SI,801790.SI,非银金融,ONE_TO_ONE,0,0.094737,1.0,0.094737,high_v8_coverage_single_parent
2026-03-30,SW2014,000619,850614.SI,850614.SI,801710.SI,建筑材料,ONE_TO_ONE,0,0.21519,1.0,0.21519,high_v8_coverage_single_parent
2026-03-30,SW2014,000620,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000623,851521.SI,851521.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.127135,1.0,0.127135,high_v8_coverage_single_parent
2026-03-30,SW2014,000625,850952.SI,850952.SI,801880.SI,汽车,ONE_TO_ONE,0,0.015432,1.0,0.015432,high_v8_coverage_single_parent
2026-03-30,SW2014,000626,851782.SI,851782.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.090278,1.0,0.090278,high_v8_coverage_single_parent
2026-03-30,SW2014,000628,850623.SI,850623.SI,801720.SI,建筑装饰,ONE_TO_ONE,0,0.045455,1.0,0.045455,high_v8_coverage_single_parent
2026-03-30,SW2014,000630,850552.SI,850552.SI,801050.SI,有色金属,ONE_TO_ONE,0,0.101266,1.0,0.101266,high_v8_coverage_single_parent
2026-03-30,SW2014,000631,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000632,852311.SI,852311.SI,801230.SI,综合,ONE_TO_ONE,0,0.428571,1.0,0.428571,high_v8_coverage_single_parent
